City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
296,Pawayan,IN,77.31,clear sky,28.0667,80.1,SBM TOILET KAMALBAG
297,Birjand,IR,57.2,broken clouds,32.8663,59.2211,Birjand Tourist Hotel
298,Oytal,KZ,51.46,scattered clouds,42.9057,73.2697,Sanatorium Ak-Niet
300,Lubao,PH,77.0,broken clouds,14.9167,120.55,Hacienda Gracia
305,Flinders,AU,54.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
308,Dharchula,IN,59.02,broken clouds,29.85,80.5333,Mahara Hotel
309,Illapel,CL,69.08,scattered clouds,-31.6308,-71.1653,Hotel Londres
313,Hasaki,JP,54.0,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
314,Humen,CN,73.99,broken clouds,22.819000000000003,113.6731,豪门大饭店
315,Rawson,AR,67.42,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
316,Launceston,AU,52.0,scattered clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
317,Ardakan,IR,66.2,clear sky,32.31,54.0175,Ardakan Hotel
320,Huntsville,US,64.4,overcast clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
324,Ponta Do Sol,PT,59.0,clear sky,32.6667,-17.1,Hotel do Campo
328,Zurrieq,MT,55.99,few clouds,35.8311,14.4742,Ta'Bertu Guest House
331,Sumenep,ID,77.18,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
334,Abu Dhabi,AE,77.0,clear sky,24.4667,54.3667,Ramee Garden Hotel Apartments
335,Djambala,CG,71.89,light rain,-2.5447,14.7533,Hotel Ravin D'or
338,Golden,US,57.0,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
339,Mana,GF,78.01,overcast clouds,5.6592,-53.7767,LE SAMANA
340,Yaring,TH,77.61,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
341,Marechal Candido Rondon,BR,74.07,broken clouds,-24.5561,-54.0567,Hotel Bender
343,Nantucket,US,50.0,clear sky,41.2835,-70.0995,Jared Coffin House
345,Fethiye,TR,62.6,broken clouds,36.6217,29.1164,Club & Hotel Letoonia
346,Sibolga,ID,74.97,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
348,Calvinia,ZA,69.66,few clouds,-31.4707,19.776,Die Lemoenhuis
349,Vila Franca Do Campo,PT,60.8,few clouds,37.7167,-25.4333,Pestana Bahia Praia
350,Isabela,PH,78.8,overcast clouds,6.7085,121.9711,Isawad Resort
353,Dondo,MZ,75.2,scattered clouds,-19.6094,34.7431,Arco Iris
355,Necochea,AR,69.01,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
357,Ilebo,CD,71.96,moderate rain,-4.3167,20.5833,Hôtel BUMAK
361,Marsh Harbour,BS,79.66,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
362,Jonesboro,US,60.01,light rain,35.8423,-90.7043,Hilton Garden Inn Jonesboro
363,Waitati,NZ,59.02,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
365,Dicabisagan,PH,73.47,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
366,Kafanchan,NG,77.07,overcast clouds,9.5833,8.3,Metro Guest Inn
367,Termiz,UZ,60.8,clear sky,37.2242,67.2783,Гостиница Shark
368,Fushun,CN,50.0,clear sky,41.8558,123.9233,Love Theme Apartment Xinhua Branch
369,Los Llanos De Aridane,ES,68.0,clear sky,28.6585,-17.9182,Valle Aridane
371,Camacha,PT,62.6,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
372,Hambantota,LK,73.4,scattered clouds,6.1241,81.1185,Bungalow 63
373,Coquimbo,CL,59.0,broken clouds,-29.9533,-71.3436,Punto de encuentro
374,Geraldton,AU,59.0,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
376,Sao Filipe,CV,74.25,scattered clouds,14.8961,-24.4956,Tortuga B&B
377,Socorro,US,62.6,broken clouds,31.6546,-106.3033,guarderia imss papalote
378,Terenos,BR,78.8,few clouds,-20.4422,-54.8603,QUINTAS
379,San Fernando,PH,77.0,broken clouds,15.0286,120.6898,Maharlika Hostel
380,Charters Towers,AU,71.64,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
381,Sitka,US,64.4,clear sky,57.0531,-135.33,Westmark Sitka
390,Alyangula,AU,71.6,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
391,Sale,MA,62.01,few clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
392,Tocache,PE,79.3,heavy intensity rain,-8.1842,-76.5125,Hotel Ortiz
397,Lafayette,US,66.0,few clouds,30.2335,-92.0668,"Drury Inn & Suites Lafayette, LA"
398,Jardim,BR,79.2,few clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
400,Kilinochchi,LK,77.97,few clouds,9.3961,80.3982,Solaivanam Guest House
401,Korla,CN,61.25,overcast clouds,41.7597,86.1469,Gulisitan Hotel
403,Iaciara,BR,75.51,broken clouds,-14.0958,-46.6317,Hotel Matinha
405,Karpathos,GR,71.6,overcast clouds,35.507,27.2132,Alex
410,Havelock,US,71.6,broken clouds,34.8791,-76.9013,Sherwood Motel
411,Dunedin,NZ,58.1,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
412,Cervo,ES,54.0,overcast clouds,43.6702,-7.4101,Hotel Spa Galatea
414,Viedma,AR,71.62,few clouds,-40.8135,-62.9967,Hotel Cristal
415,Broome,US,55.0,overcast clouds,42.2506,-75.833,Chenango Valley State Park
418,Touros,BR,78.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
420,Mocuba,MZ,65.59,broken clouds,-16.8392,36.9856,Phama Lodge
423,San Quintin,MX,67.93,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
424,Roebourne,AU,77.52,clear sky,-20.7833,117.1333,Harding River Caravan Park
425,Pacifica,US,68.0,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
426,Ipixuna,BR,75.2,broken clouds,-1.7625,-48.8043,Casa da Oscarina
427,Dingle,PH,76.64,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
428,Hamilton,US,64.4,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
429,Lucapa,AO,67.24,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
430,Dunyapur,PK,75.2,smoke,29.7995,71.7196,فدا لاج
432,Payo,ID,71.37,light rain,-3.7508,103.6372,Mess keban agung
