City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Hualmay,PE,-11.0964,-77.6139,67.68,86,55,7.72,broken clouds
140,Saint George,US,37.1041,-113.5841,75.0,8,1,9.22,clear sky
141,Novokizhinginsk,RU,51.6115,109.5917,30.25,29,77,2.48,broken clouds
142,Mahibadhoo,MV,3.7833,72.9667,83.01,64,91,8.99,overcast clouds
143,Lulea,SE,65.5842,22.1547,33.8,80,22,3.44,few clouds
144,Itarema,BR,-2.9248,-39.9167,76.37,90,95,9.26,overcast clouds
145,Mogadouro,PT,41.3403,-6.7119,50.0,72,100,1.68,overcast clouds
146,Porto Novo,BJ,6.4965,2.6036,75.2,94,20,8.05,few clouds
147,Gillette,US,44.2911,-105.5022,51.8,43,90,17.27,overcast clouds
148,Pointe Michel,DM,15.25,-61.3833,78.8,78,20,8.05,few clouds
149,West Bay,KY,19.3667,-81.4167,82.4,78,40,10.36,scattered clouds
150,Murray Bridge,AU,-35.1167,139.2667,60.01,85,19,8.84,few clouds
151,Padang,ID,-0.9492,100.3543,76.84,86,29,3.15,scattered clouds
152,Kavieng,PG,-2.5744,150.7967,83.88,72,91,6.38,overcast clouds
153,Manggar,ID,-2.8833,108.2667,81.48,72,94,4.34,overcast clouds
154,Faya,SA,18.3851,42.4509,64.4,20,0,6.91,clear sky
155,Port Lincoln,AU,-34.7333,135.8667,61.7,70,2,13.18,clear sky
156,Mbandaka,CD,0.0487,18.2603,71.28,96,100,3.56,light rain
157,San Quintin,MX,30.4833,-115.95,66.49,63,1,11.41,clear sky
158,Saint Anthony,US,45.0205,-93.218,48.2,81,90,14.97,light rain
159,Saumur,FR,47.3333,-0.25,44.6,70,0,3.44,clear sky
160,Clarence Town,AU,-32.5833,151.7833,64.99,77,20,10.36,few clouds
161,Buraydah,SA,26.326,43.975,71.6,35,0,4.61,clear sky
162,Sitka,US,57.0531,-135.33,66.2,26,1,11.5,clear sky
163,Vilhena,BR,-12.7406,-60.1458,73.4,94,20,3.44,few clouds
164,Saint-Pierre,RE,-21.3393,55.4781,75.2,78,90,14.97,overcast clouds
165,Isangel,VU,-19.55,169.2667,84.2,70,75,11.5,broken clouds
166,Vanavara,RU,60.34,102.2797,23.68,81,100,8.97,overcast clouds
167,Bethel,US,41.3712,-73.414,57.2,41,90,4.61,overcast clouds
168,Santa Lucia,ES,27.9117,-15.5407,64.99,68,40,23.02,scattered clouds
169,Lasem,ID,-6.6922,111.4527,78.24,82,84,4.09,broken clouds
170,Dingle,PH,10.9995,122.6711,79.59,74,100,3.4,overcast clouds
171,Bentiu,SS,9.2333,29.8333,85.62,32,91,3.13,overcast clouds
172,Kirkwall,GB,58.9848,-2.9587,48.2,76,90,8.05,overcast clouds
173,Murgab,TM,37.4966,61.9714,60.8,63,0,6.91,clear sky
174,Tiksi,RU,71.6872,128.8694,9.99,85,100,12.08,overcast clouds
175,Fairbanks,US,64.8378,-147.7164,62.6,30,1,1.83,clear sky
176,Thompson,CA,55.7435,-97.8558,28.4,40,40,12.66,scattered clouds
177,Klaksvik,FO,62.2266,-6.589,41.0,93,40,6.91,scattered clouds
178,Ziro,IN,27.6333,93.8333,48.72,98,85,1.72,overcast clouds
179,Bengkulu,ID,-3.8004,102.2655,74.93,87,97,3.74,overcast clouds
180,Iqaluit,CA,63.7506,-68.5145,17.6,73,75,4.61,broken clouds
181,Salalah,OM,17.0151,54.0924,78.8,73,0,3.44,clear sky
182,Bambous Virieux,MU,-20.3428,57.7575,78.8,89,75,12.66,light rain
